,Gene,Promoter,CpG_chrm,CpG_beg,CpG_end
139,CLSTN1,CLSTN1_1,chr1,9823949,9824009
140,CTNNBIP1,CTNNBIP1_1,chr1,9910244,9910304
141,LZIC,LZIC_2,chr1,9942788,9942848
142,LZIC,LZIC_1,chr1,9943316,9943376
143,NMNAT1,NMNAT1_1,chr1,9943425,9943485
144,RBP7,RBP7_1,chr1,9997178,9997238
145,UBE4B,UBE4B_1,chr1,10032908,10032968
146,PGD,PGD_1,chr1,10399014,10399074
147,CENPS,CENPS_2,chr1,10430393,10430453
148,CENPS,CENPS_1,chr1,10430702,10430762
149,DFFA,DFFA_1,chr1,10472515,10472575
150,DFFA,DFFA_2,chr1,10472964,10473024
151,PEX14,PEX14_1,chr1,10474904,10474964
152,CASZ1,CASZ1_2,chr1,10694535,10694595
153,CASZ1,CASZ1_1,chr1,10796608,10796668
154,TARDBP,TARDBP_3,chr1,11012277,11012337
155,TARDBP,TARDBP_1,chr1,11012609,11012669
156,SRM,SRM_1,chr1,11060007,11060067
157,EXOSC10,EXOSC10_1,chr1,11099840,11099900
158,MTOR,MTOR_1,chr1,11262529,11262589
159,UBIAD1,UBIAD1_1,chr1,11273176,11273236
160,UBIAD1,UBIAD1_2,chr1,11273460,11273520
161,DISP3,DISP3_1,chr1,11479105,11479165
162,DISP3,DISP3_2,chr1,11479266,11479326
163,FBXO2,FBXO2_1,chr1,11654418,11654478
164,FBXO6,FBXO6_3,chr1,11654475,11654535
165,FBXO2,FBXO2_2,chr1,11654643,11654703
166,FBXO44,FBXO44_1,chr1,11654827,11654887
167,FBXO6,FBXO6_2,chr1,11654838,11654898
168,FBXO44,FBXO44_2,chr1,11654860,11654920
169,FBXO6,FBXO6_4,chr1,11664043,11664103
170,FBXO6,FBXO6_1,chr1,11664151,11664211
171,MAD2L2,MAD2L2_3,chr1,11680957,11681017
172,MAD2L2,MAD2L2_1,chr1,11681137,11681197
173,DRAXIN,DRAXIN_1,chr1,11691660,11691720
174,MAD2L2,MAD2L2_2,chr1,11691815,11691875
175,AGTRAP,AGTRAP_1,chr1,11736086,11736146
176,MTHFR,MTHFR_1,chr1,11803526,11803586
177,MTHFR,MTHFR_3,chr1,11805468,11805528
178,MTHFR,MTHFR_2,chr1,11805953,11806013
179,CLCN6,CLCN6_1,chr1,11806191,11806251
180,NPPB,NPPB_1,chr1,11858934,11858994
181,KIAA2013,KIAA2013_1,chr1,11926416,11926476
182,PLOD1,PLOD1_1,chr1,11934681,11934741
183,MFN2,MFN2_2,chr1,11980187,11980247
184,MFN2,MFN2_1,chr1,11980396,11980456
185,MIIP,MIIP_1,chr1,12019451,12019511
186,TNFRSF8,TNFRSF8_1,chr1,12063253,12063313
187,TNFRSF8,TNFRSF8_3,chr1,12063548,12063608
188,TNFRSF8,TNFRSF8_2,chr1,12125905,12125965
189,TNFRSF1B,TNFRSF1B_1,chr1,12166941,12167001
190,VPS13D,VPS13D_1,chr1,12229982,12230042
191,DHRS3,DHRS3_3,chr1,12617501,12617561
192,DHRS3,DHRS3_1,chr1,12617776,12617836
193,DHRS3,DHRS3_4,chr1,12617991,12618051
194,DHRS3,DHRS3_2,chr1,12618198,12618258
195,DHRS3,DHRS3_7,chr1,12618879,12618939
196,DHRS3,DHRS3_5,chr1,12619097,12619157
197,DHRS3,DHRS3_6,chr1,12619965,12620025
198,LRRC38,LRRC38_2,chr1,13513665,13513725
199,LRRC38,LRRC38_1,chr1,13513992,13514052
200,PDPN,PDPN_1,chr1,13583782,13583842
201,PDPN,PDPN_2,chr1,13584219,13584279
202,PRDM2,PRDM2_1,chr1,13749387,13749447
203,KAZN,KAZN_4,chr1,13829048,13829108
204,KAZN,KAZN_2,chr1,14598641,14598701
205,KAZN,KAZN_3,chr1,14598780,14598840
206,KAZN,KAZN_1,chr1,14924112,14924172
207,TMEM51,TMEM51_2,chr1,15152516,15152576
208,TMEM51,TMEM51_1,chr1,15153713,15153773
209,EFHD2,EFHD2_1,chr1,15409875,15409935
210,CASP9,CASP9_1,chr1,15524204,15524264
211,CASP9,CASP9_2,chr1,15524370,15524430
212,CASP9,CASP9_3,chr1,15526497,15526557
213,DNAJC16,DNAJC16_1,chr1,15526798,15526858
214,AGMAT,AGMAT_1,chr1,15585012,15585072
215,DDI2,DDI2_1,chr1,15617408,15617468
216,DDI2,DDI2_2,chr1,15617512,15617572
217,PLEKHM2,PLEKHM2_1,chr1,15684270,15684330
218,TMEM82,TMEM82_1,chr1,15742451,15742511
219,FBLIM1,FBLIM1_2,chr1,15756588,15756648
220,FBLIM1,FBLIM1_1,chr1,15758745,15758805
221,SPEN,SPEN_2,chr1,15837381,15837441
222,SPEN,SPEN_1,chr1,15847809,15847869
223,ZBTB17,ZBTB17_1,chr1,15976068,15976128
224,FAM131C,FAM131C_1,chr1,16073640,16073700
225,EPHA2,EPHA2_1,chr1,16156058,16156118
226,ARHGEF19,ARHGEF19_1,chr1,16206975,16207035
227,ARHGEF19,ARHGEF19_2,chr1,16212641,16212701
228,RSG1,RSG1_1,chr1,16237143,16237203
229,FBXO42,FBXO42_1,chr1,16352443,16352503
230,SZRD1,SZRD1_1,chr1,16367194,16367254
231,NECAP2,NECAP2_1,chr1,16440692,16440752
232,NBPF1,NBPF1_1,chr1,16613539,16613599
233,MFAP2,MFAP2_1,chr1,16980609,16980669
234,ATP13A2,ATP13A2_1,chr1,17011917,17011977
235,SDHB,SDHB_1,chr1,17054021,17054081
236,SDHB,SDHB_2,chr1,17054129,17054189
237,PADI2,PADI2_1,chr1,17119440,17119500
238,PADI4,PADI4_1,chr1,17308147,17308207
239,RCC2,RCC2_1,chr1,17438525,17438585
240,RCC2,RCC2_2,chr1,17439660,17439720
241,RCC2,RCC2_3,chr1,17441464,17441524
242,ARHGEF10L,ARHGEF10L_3,chr1,17520281,17520341
243,ARHGEF10L,ARHGEF10L_1,chr1,17539706,17539766
244,IGSF21,IGSF21_1,chr1,18107748,18107808
245,PAX7,PAX7_2,chr1,18630796,18630856
246,PAX7,PAX7_1,chr1,18631469,18631529
247,ALDH4A1,ALDH4A1_1,chr1,18902544,18902604
248,ALDH4A1,ALDH4A1_2,chr1,18902751,18902811
249,UBR4,UBR4_1,chr1,19210249,19210309
250,MRTO4,MRTO4_1,chr1,19210345,19210405
251,MRTO4,MRTO4_3,chr1,19251500,19251560
252,EMC1,EMC1_1,chr1,19251513,19251573
253,MRTO4,MRTO4_2,chr1,19251755,19251815
254,AKR7A3,AKR7A3_1,chr1,19288757,19288817
255,AKR7A2,AKR7A2_1,chr1,19312092,19312152
256,PQLC2,PQLC2_1,chr1,19312276,19312336
257,MINOS1,MINOS1_2,chr1,19484353,19484413
258,CAPZB,CAPZB_1,chr1,19485522,19485582
259,MINOS1,MINOS1_1,chr1,19596965,19597025
260,NBL1,NBL1_3,chr1,19643664,19643724
261,NBL1,NBL1_2,chr1,19644155,19644215
262,NBL1,NBL1_1,chr1,19644263,19644323
263,TMCO4,TMCO4_1,chr1,19799869,19799929
264,TMCO4,TMCO4_2,chr1,19800254,19800314
265,OTUD3,OTUD3_1,chr1,19882350,19882410
266,OTUD3,OTUD3_2,chr1,19882556,19882616
267,UBXN10,UBXN10_1,chr1,20186062,20186122
268,PLA2G2D,PLA2G2D_1,chr1,20186507,20186567
269,CAMK2N1,CAMK2N1_2,chr1,20485606,20485666
270,CAMK2N1,CAMK2N1_1,chr1,20486193,20486253
271,MUL1,MUL1_1,chr1,20508124,20508184
272,CDA,CDA_2,chr1,20588896,20588956
273,CDA,CDA_1,chr1,20589048,20589108
274,PINK1,PINK1_1,chr1,20633428,20633488
275,DDOST,DDOST_1,chr1,20661358,20661418
276,KIF17,KIF17_2,chr1,20717782,20717842
277,KIF17,KIF17_3,chr1,20717996,20718056
278,HP1BP3,HP1BP3_1,chr1,20786641,20786701
279,EIF4G3,EIF4G3_1,chr1,21176886,21176946
280,ECE1,ECE1_3,chr1,21290204,21290264
281,ECE1,ECE1_2,chr1,21290447,21290507
282,ECE1,ECE1_1,chr1,21345493,21345553
283,NBPF3,NBPF3_1,chr1,21440087,21440147
284,ALPL,ALPL_2,chr1,21508934,21508994
285,ALPL,ALPL_1,chr1,21509376,21509436
286,RAP1GAP,RAP1GAP_3,chr1,21622559,21622619
287,RAP1GAP,RAP1GAP_2,chr1,21651851,21651911
288,RAP1GAP,RAP1GAP_1,chr1,21669309,21669369
289,USP48,USP48_1,chr1,21783138,21783198
290,USP48,USP48_2,chr1,21783601,21783661
291,HSPG2,HSPG2_1,chr1,21937296,21937356
292,CDC42,CDC42_1,chr1,22052659,22052719
293,ZBTB40,ZBTB40_2,chr1,22428824,22428884
294,ZBTB40,ZBTB40_1,chr1,22451801,22451861
295,EPHA8,EPHA8_1,chr1,22563439,22563499
296,C1QC,C1QC_1,chr1,22643583,22643643
297,EPHB2,EPHB2_1,chr1,22710789,22710849
298,EPHB2,EPHB2_2,chr1,22710956,22711016
299,KDM1A,KDM1A_1,chr1,23019418,23019478
300,KDM1A,KDM1A_2,chr1,23019520,23019580
301,LUZP1,LUZP1_1,chr1,23168845,23168905
302,LUZP1,LUZP1_2,chr1,23178111,23178171
303,HNRNPR,HNRNPR_1,chr1,23344270,23344330
304,ZNF436,ZNF436_1,chr1,23368324,23368384
305,ZNF436,ZNF436_3,chr1,23369613,23369673
306,ZNF436,ZNF436_2,chr1,23369947,23370007
307,TCEA3,TCEA3_1,chr1,23424737,23424797
308,ASAP3,ASAP3_1,chr1,23484168,23484228
309,E2F2,E2F2_1,chr1,23531203,23531263
310,ID3,ID3_1,chr1,23559488,23559548
311,RPL11,RPL11_1,chr1,23691756,23691816
312,RPL11,RPL11_2,chr1,23692634,23692694
313,ELOA,ELOA_2,chr1,23743105,23743165
314,ELOA,ELOA_1,chr1,23743421,23743481
315,PITHD1,PITHD1_1,chr1,23778368,23778428
316,LYPLA2,LYPLA2_1,chr1,23791135,23791195
317,GALE,GALE_2,chr1,23799531,23799591
318,GALE,GALE_1,chr1,23800743,23800803
319,HMGCL,HMGCL_1,chr1,23825417,23825477
320,FUCA1,FUCA1_1,chr1,23868279,23868339
321,CNR2,CNR2_1,chr1,23913351,23913411
322,PNRC2,PNRC2_2,chr1,23959147,23959207
323,PNRC2,PNRC2_1,chr1,23959778,23959838
324,SRSF10,SRSF10_1,chr1,23980316,23980376
325,MYOM3,MYOM3_2,chr1,24112267,24112327
326,IFNLR1,IFNLR1_1,chr1,24187246,24187306
327,GRHL3,GRHL3_1,chr1,24319307,24319367
328,GRHL3,GRHL3_2,chr1,24319470,24319530
329,NIPAL3,NIPAL3_2,chr1,24413585,24413645
330,NIPAL3,NIPAL3_3,chr1,24415332,24415392
331,NIPAL3,NIPAL3_1,chr1,24415752,24415812
332,STPG1,STPG1_2,chr1,24416923,24416983
333,STPG1,STPG1_1,chr1,24419036,24419096
334,STPG1,STPG1_3,chr1,24419369,24419429
335,RCAN3,RCAN3_1,chr1,24502294,24502354
336,RCAN3,RCAN3_4,chr1,24502472,24502532
337,RCAN3,RCAN3_2,chr1,24502786,24502846
338,NCMAP,NCMAP_1,chr1,24556071,24556131
339,SRRM1,SRRM1_1,chr1,24643252,24643312
340,CLIC4,CLIC4_1,chr1,24745397,24745457
341,RUNX3,RUNX3_2,chr1,24929944,24930004
342,RUNX3,RUNX3_1,chr1,24964995,24965055
343,RUNX3,RUNX3_3,chr1,24965127,24965187
344,SYF2,SYF2_1,chr1,25232491,25232551
345,RSRP1,RSRP1_1,chr1,25247443,25247503
346,TMEM50A,TMEM50A_1,chr1,25338284,25338344
347,TMEM57,TMEM57_2,chr1,25430290,25430350
348,TMEM57,TMEM57_1,chr1,25430847,25430907
349,TMEM57,TMEM57_3,chr1,25430954,25431014
350,LDLRAP1,LDLRAP1_1,chr1,25543557,25543617
351,LDLRAP1,LDLRAP1_2,chr1,25562744,25562804
352,MAN1C1,MAN1C1_1,chr1,25617407,25617467
353,SEPN1,SEPN1_1,chr1,25800143,25800203
354,MTFR1L,MTFR1L_1,chr1,25819928,25819988
355,MTFR1L,MTFR1L_2,chr1,25820158,25820218
356,MTFR1L,MTFR1L_4,chr1,25820815,25820875
357,AUNIP,AUNIP_1,chr1,25859406,25859466
358,PAQR7,PAQR7_1,chr1,25875505,25875565
359,STMN1,STMN1_1,chr1,25906408,25906468
360,PAFAH2,PAFAH2_1,chr1,25998052,25998112
361,SLC30A2,SLC30A2_1,chr1,26046107,26046167
362,PDIK1L,PDIK1L_2,chr1,26111115,26111175
363,PDIK1L,PDIK1L_1,chr1,26111778,26111838
364,ZNF593,ZNF593_1,chr1,26169877,26169937
365,CNKSR1,CNKSR1_1,chr1,26177457,26177517
366,CEP85,CEP85_1,chr1,26234150,26234210
367,SH3BGRL3,SH3BGRL3_1,chr1,26280049,26280109
368,UBXN11,UBXN11_1,chr1,26306625,26306685
369,CD52,CD52_1,chr1,26317908,26317968
370,LIN28A,LIN28A_1,chr1,26410767,26410827
371,DHDDS,DHDDS_1,chr1,26432275,26432335
372,HMGN2,HMGN2_1,chr1,26472456,26472516
373,RPS6KA1,RPS6KA1_1,chr1,26529711,26529771
374,ARID1A,ARID1A_1,chr1,26695982,26696042
375,PIGV,PIGV_3,chr1,26787008,26787068
376,PIGV,PIGV_2,chr1,26787239,26787299
377,ZDHHC18,ZDHHC18_2,chr1,26787902,26787962
378,PIGV,PIGV_4,chr1,26787950,26788010
379,PIGV,PIGV_1,chr1,26788138,26788198
380,ZDHHC18,ZDHHC18_1,chr1,26826680,26826740
381,GPN2,GPN2_1,chr1,26890263,26890323
382,GPATCH3,GPATCH3_1,chr1,26900442,26900502
383,NUDC,NUDC_1,chr1,26921706,26921766
384,TRNP1,TRNP1_2,chr1,26960477,26960537
385,TRNP1,TRNP1_1,chr1,26993642,26993702
386,FAM46B,FAM46B_1,chr1,27012839,27012899
387,SLC9A1,SLC9A1_1,chr1,27154618,27154678
388,SLC9A1,SLC9A1_2,chr1,27154810,27154870
389,WDTC1,WDTC1_1,chr1,27234601,27234661
390,TMEM222,TMEM222_1,chr1,27322216,27322276
391,SYTL1,SYTL1_1,chr1,27341972,27342032
392,MAP3K6,MAP3K6_1,chr1,27366948,27367008
393,CD164L2,CD164L2_1,chr1,27383322,27383382
394,GPR3,GPR3_1,chr1,27392574,27392634
395,WASF2,WASF2_1,chr1,27490147,27490207
396,FGR,FGR_1,chr1,27635132,27635192
397,IFI6,IFI6_1,chr1,27672181,27672241
398,FAM76A,FAM76A_1,chr1,27725934,27725994
399,STX12,STX12_1,chr1,27773202,27773262
400,PPP1R8,PPP1R8_2,chr1,27830636,27830696
401,PPP1R8,PPP1R8_1,chr1,27830764,27830824
402,THEMIS2,THEMIS2_1,chr1,27872494,27872554
403,RPA2,RPA2_1,chr1,27914564,27914624
404,RPA2,RPA2_2,chr1,27914714,27914774
405,SMPDL3B,SMPDL3B_1,chr1,27934979,27935039
406,XKR8,XKR8_1,chr1,27959509,27959569
407,XKR8,XKR8_2,chr1,27959949,27960009
408,EYA3,EYA3_1,chr1,28088599,28088659
409,EYA3,EYA3_2,chr1,28176679,28176739
410,PTAFR,PTAFR_2,chr1,28177240,28177300
411,DNAJC8,DNAJC8_1,chr1,28233018,28233078
412,ATPIF1,ATPIF1_1,chr1,28236074,28236134
413,DNAJC8,DNAJC8_2,chr1,28236409,28236469
414,SESN2,SESN2_1,chr1,28259474,28259534
415,PHACTR4,PHACTR4_1,chr1,28369691,28369751
416,RCC1,RCC1_1,chr1,28505994,28506054
417,RCC1,RCC1_3,chr1,28507317,28507377
418,RCC1,RCC1_2,chr1,28518202,28518262
419,TRNAU1AP,TRNAU1AP_1,chr1,28553035,28553095
420,RAB42,RAB42_2,chr1,28592213,28592273
421,RAB42,RAB42_1,chr1,28592452,28592512
422,TAF12,TAF12_1,chr1,28643015,28643075
423,GMEB1,GMEB1_1,chr1,28668734,28668794
424,YTHDF2,YTHDF2_2,chr1,28736762,28736822
425,YTHDF2,YTHDF2_1,chr1,28736890,28736950
426,OPRD1,OPRD1_1,chr1,28812120,28812180
427,EPB41,EPB41_1,chr1,28887053,28887113
428,EPB41,EPB41_2,chr1,28914519,28914579
429,TMEM200B,TMEM200B_2,chr1,29122678,29122738
430,TMEM200B,TMEM200B_1,chr1,29123882,29123942
431,TAF12,TAF12_2,chr1,29181858,29181918
432,SRSF4,SRSF4_1,chr1,29181887,29181947
433,MECR,MECR_1,chr1,29230913,29230973
434,PTPRU,PTPRU_1,chr1,29236472,29236532
435,LAPTM5,LAPTM5_1,chr1,30757763,30757823
436,LAPTM5,LAPTM5_2,chr1,30790985,30791045
437,SDC3,SDC3_1,chr1,30908747,30908807
438,SDC3,SDC3_2,chr1,30909698,30909758
439,PUM1,PUM1_1,chr1,31065706,31065766
440,SNRNP40,SNRNP40_1,chr1,31296771,31296831
441,ZCCHC17,ZCCHC17_1,chr1,31296982,31297042
442,FABP3,FABP3_1,chr1,31373065,31373125
443,SERINC2,SERINC2_1,chr1,31413163,31413223
444,TINAGL1,TINAGL1_1,chr1,31576465,31576525
445,HCRTR1,HCRTR1_1,chr1,31617648,31617708
446,PEF1,PEF1_1,chr1,31644865,31644925
447,ADGRB2,ADGRB2_1,chr1,31764039,31764099
448,KHDRBS1,KHDRBS1_1,chr1,32013820,32013880
449,TMEM39B,TMEM39B_1,chr1,32072916,32072976
450,KPNA6,KPNA6_1,chr1,32108006,32108066
451,TXLNA,TXLNA_1,chr1,32179693,32179753
452,TXLNA,TXLNA_2,chr1,32180015,32180075
453,CCDC28B,CCDC28B_1,chr1,32200571,32200631
454,CCDC28B,CCDC28B_2,chr1,32201651,32201711
455,IQCC,IQCC_1,chr1,32205621,32205681
456,EIF3I,EIF3I_2,chr1,32221708,32221768
457,EIF3I,EIF3I_1,chr1,32222357,32222417
458,LCK,LCK_3,chr1,32250944,32251004
459,LCK,LCK_1,chr1,32251215,32251275
460,LCK,LCK_2,chr1,32274071,32274131
461,HDAC1,HDAC1_1,chr1,32292054,32292114
462,HDAC1,HDAC1_3,chr1,32292190,32292250
463,MARCKSL1,MARCKSL1_1,chr1,32336222,32336282
464,TSSK3,TSSK3_2,chr1,32362128,32362188
465,TSSK3,TSSK3_1,chr1,32362489,32362549
466,BSDC1,BSDC1_1,chr1,32394417,32394477
467,ZBTB8A,ZBTB8A_2,chr1,32539133,32539193
468,ZBTB8A,ZBTB8A_1,chr1,32539391,32539451
469,ZBTB8OS,ZBTB8OS_1,chr1,32650534,32650594
470,ZBTB8OS,ZBTB8OS_2,chr1,32650921,32650981
471,RBBP4,RBBP4_1,chr1,32651160,32651220
472,RBBP4,RBBP4_2,chr1,32651686,32651746
473,S100PBP,S100PBP_2,chr1,32816512,32816572
474,YARS,YARS_1,chr1,32817347,32817407
475,S100PBP,S100PBP_1,chr1,32817603,32817663
476,YARS,YARS_2,chr1,32818142,32818202
477,FNDC5,FNDC5_1,chr1,32870901,32870961
478,FNDC5,FNDC5_2,chr1,32872470,32872530
479,HPCA,HPCA_2,chr1,32885946,32886006
480,HPCA,HPCA_1,chr1,32886443,32886503
481,TMEM54,TMEM54_1,chr1,32901378,32901438
482,RNF19B,RNF19B_1,chr1,32964798,32964858
483,AK2,AK2_1,chr1,33036868,33036928
484,AZIN2,AZIN2_1,chr1,33081105,33081165
485,TRIM62,TRIM62_2,chr1,33181682,33181742
486,TRIM62,TRIM62_1,chr1,33182030,33182090
487,ZNF362,ZNF362_1,chr1,33255587,33255647
488,PHC2,PHC2_1,chr1,33349888,33349948
489,PHC2,PHC2_2,chr1,33431084,33431144
490,ZSCAN20,ZSCAN20_1,chr1,33472601,33472661
491,CSMD2,CSMD2_1,chr1,34165219,34165279
492,C1orf94,C1orf94_1,chr1,34166869,34166929
493,C1orf94,C1orf94_2,chr1,34166973,34167033
494,GJB3,GJB3_1,chr1,34781164,34781224
495,GJB3,GJB3_3,chr1,34781387,34781447
496,GJB3,GJB3_2,chr1,34782326,34782386
497,GJA4,GJA4_1,chr1,34792949,34793009
498,SMIM12,SMIM12_1,chr1,34859726,34859786
499,TMEM35B,TMEM35B_1,chr1,34985294,34985354
